0.269,-31.813,-38.743,65.159
0.27,-31.917,-38.047,66.12
0.271,-32.009,-37.319,67.058
0.272,-32.087,-36.561,67.972
0.273,-32.152,-35.772,68.86
0.274,-32.203,-34.955,69.721
0.275,-32.24,-34.111,70.553
0.276,-32.263,-33.24,71.356
0.277,-32.271,-32.344,72.127
0.278,-32.265,-31.425,72.866
0.279,-32.244,-30.483,73.571
0.28,-32.209,-29.522,74.243
0.281,-32.158,-28.541,74.879
0.282,-32.093,-27.543,75.479
0.283,-32.012,-26.53,76.043
0.284,-31.917,-25.504,76.569
0.285,-31.807,-24.465,77.058
0.286,-31.682,-23.416,77.509
0.287,-31.543,-22.359,77.922
0.288,-31.389,-21.295,78.296
0.289,-31.22,-20.226,78.632
0.29,-31.037,-19.155,78.93
0.291,-30.84,-18.083,79.19
0.292,-30.629,-17.011,79.412
0.293,-30.404,-15.941,79.597
0.294,-30.166,-14.876,79.745
0.295,-29.915,-13.816,79.856
0.296,-29.651,-12.763,79.933
0.297,-29.374,-11.719,79.974
0.298,-29.086,-10.685,79.982
0.299,-28.786,-9.663,79.956
0.3,-28.474,-8.654,79.899
0.301,-28.152,-7.659,79.81
0.302,-27.819,-6.679,79.692
0.303,-27.475,-5.716,79.545
0.304,-27.122,-4.77,79.37
0.305,-26.76,-3.842,79.169
0.306,-26.389,-2.934,78.942
0.307,-26.01,-2.045,78.692
0.308,-25.622,-1.177,78.42
0.309,-25.228,-0.33,78.126
0.31,-24.826,0.495,77.812
0.311,-24.418,1.298,77.479
0.312,-24.003,2.078,77.129
0.313,-23.583,2.836,76.763
0.314,-23.158,3.571,76.382
0.315,-22.728,4.282,75.987
0.316,-22.294,4.971,75.579
0.317,-21.856,5.636,75.161
0.318,-21.414,6.278,74.732
0.319,-20.97,6.897,74.295
0.32,-20.523,7.493,73.849
0.321,-20.073,8.066,73.397
0.322,-19.622,8.617,72.938
0.323,-19.17,9.145,72.475
0.324,-18.716,9.652,72.008
0.325,-18.262,10.137,71.538
0.326,-17.808,10.601,71.066
0.327,-17.353,11.044,70.592
0.328,-16.899,11.467,70.118
0.329,-16.446,11.87,69.644
0.33,-15.993,12.254,69.171
0.331,-15.542,12.619,68.699
0.332,-15.092,12.966,68.229
0.333,-14.644,13.295,67.762
0.334,-14.198,13.606,67.298
0.335,-13.754,13.901,66.837
0.336,-13.313,14.179,66.381
0.337,-12.875,14.442,65.929
0.338,-12.439,14.689,65.482
0.339,-12.007,14.922,65.04
0.34,-11.577,15.141,64.603
0.341,-11.152,15.346,64.172
0.342,-10.73,15.538,63.748
0.343,-10.311,15.717,63.329
0.344,-9.897,15.885,62.917
0.345,-9.486,16.04,62.511
0.346,-9.08,16.185,62.113
0.347,-8.678,16.319,61.721
0.348,-8.28,16.443,61.336
0.349,-7.887,16.557,60.958
0.35,-7.498,16.661,60.587
0.351,-7.114,16.757,60.223
0.352,-6.734,16.845,59.867
